sample_id,time_ms,accel_z,magnitude,queue_size,latency_us,processed_count,explanation
1,157862866,-9.74556,9.74556,2,36291,1,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
2,157862888,-9.66295,9.66295,4,60167,2,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
3,157862902,-9.64692,9.64692,5,78113,3,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
4,157862917,-9.76739,9.76739,7,109828,4,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
5,157862932,-9.72613,9.72613,9,140584,5,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
6,157862948,-9.63918,9.63918,11,171832,6,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
7,157862964,-9.55841,9.55841,13,202768,7,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
8,157862980,-9.54912,9.54912,15,233714,8,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
9,157862995,-9.08402,9.08402,17,265297,9,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
10,157863011,-9.01211,9.01211,18,281450,10,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
11,157863026,-9.01263,9.01263,20,311880,11,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
12,157863042,-9.31146,9.31146,22,342201,12,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
13,157863057,-9.41507,9.41507,24,372245,13,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
14,157863073,-8.98057,8.98057,26,403482,14,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
15,157863088,-9.16378,9.16378,28,434929,15,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
16,157863104,-8.8828,8.8828,30,465831,16,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
17,157863120,-9.05532,9.05532,32,496846,17,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
18,157863136,-9.03147,9.03147,34,528927,18,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
19,157863151,-8.73334,8.73334,36,559331,19,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
20,157863166,-8.8803,8.8803,38,589291,20,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
21,157863182,-9.12505,9.12505,40,623393,21,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
22,157863197,-9.21245,9.21245,42,651899,22,"Producer generates IMU data while consumer processes with artificial delay causing queue buildup"
